,question,answer,question_type,image
382,What is the currency of Pakistan?,Rupee,GK Questions For Class 2,
383,What is the currency of China?,Yuan,GK Questions For Class 2,
384,What is the currency of New Zealand?,Dollar,GK Questions For Class 2,
385,What is the currency of Russia?,Ruble,GK Questions For Class 2,
386,Tokyo is the capital of which country?,Japan,GK Questions For Class 2,
387,What was the real name of Lord Buddha?,Siddhartha Gautama,GK Questions For Class 2,
388,Oscar award is related to which field?,Film industry,GK Questions For Class 2,
389,How many minutes are there in an hour?,60,GK Questions For Class 2,
390,A triangle with all three sides equal is called _______.,Equilateral triangle,GK Questions For Class 2,
391,What is the capital of Philippines?,Manila,GK Questions For Class 2,
392,What do you call a person who makes furniture from wood?,Carpenter,GK Questions For Class 2,
393,Which country is known as “Gift of Nile”?,Egypt,GK Questions For Class 2,
394,How many years make a decade?,10,GK Questions For Class 2,
395,Which part of a plant is called “kitchen of the plant”?,Leaf,GK Questions For Class 2,
396,We smell using our _____.,Nose,GK Questions For Class 2,
397,Who painted Mona Lisa?,Leonardo Da Vinci,GK Questions For Class 2,
398,We use our ears to _______.,Hear,GK Questions For Class 2,
399,English alphabets have ____ consonants.,21,GK Questions For Class 2,
400,What is the shape of a cricket field?,Circle,GK Questions For Class 2,
401,How many members are there in a Water Polo team?,7,GK Questions For Class 2,
402,The word “Grand Slam” is associated with which sport?,Tennis,GK Questions For Class 2,
403,What is a group of porcupines called?,Prickle,GK Questions For Class 2,
404,Name a bird that can fly backwards?,Humming bird,GK Questions For Class 2,
405, Who was the first Prime Minister of India?,Jawaharlal Nehru,GK Questions For Class 2,
406, Which state is known as the ‘fruit bowl’ of India?,Himachal Pradesh,GK Questions For Class 2,
407, What is the name of this beautiful monument?,Taj Mahal,GK Questions For Class 2,images/2.jpeg
408, How many legs does a spider have?, Eight,GK Questions For Class 2,
409, Name this famous Indian Cricketer.,Sachin Tendulkar,GK Questions For Class 2,images/3.jpeg
410, Who is popularly known as the “Iron Man of India”?,Sardar Vallabh Bhai Patel ,GK Questions For Class 2,
411, What is the sound made by a duck?,Quack quack,GK Questions For Class 2,
412, The national currency of India is,Rupee,GK Questions For Class 2,
413, The young one of a kangaroo is,Joey,GK Questions For Class 2,
414, What is the sound made by a horse?,Neigh,GK Questions For Class 2,
415, The young one of Elephant is,Calf,GK Questions For Class 2,
416, Which river is infamous as the ‘Sorrow of Bengal”?,Damodar River,GK Questions For Class 2,
417, _ is celebrated as the birth of Jesus Christ,Christmas,GK Questions For Class 2,
418, Which is the harvest festival in Assam?,Bohag Bihu ,GK Questions For Class 2,
419, Thiruvananthapuram is the capital of _.,Kerala,GK Questions For Class 2,
420, Which is the national sport of India?,Hockey,GK Questions For Class 2,
421, What does the heart pump?,Blood,GK Questions For Class 2,
422, The longest river in India,Ganga,GK Questions For Class 2,
423, Which is the national fruit of India?,Mango,GK Questions For Class 2,
424, How many spokes does the wheel in Indian Flag have?,24 spokes,GK Questions For Class 2,
425, Who is the first citizen of India?,President of India,GK Questions For Class 2,
426, Where does a pig live?,Sty,GK Questions For Class 2,
427, What is the name of this famous painting?,Mona Lisa,GK Questions For Class 2,images/4.jpeg
428, How many cats can you see in this picture?,10 cats,GK Questions For Class 2,images/5.jpeg
429, How do you relate to your maternal grandfather?,Mother’s father,GK Questions For Class 2,
430,A polygon with 5 sides is called a _________.,Pentagon,GK Questions For Class 3,
431,What is the young one of a kangaroo called?,Joey,GK Questions For Class 3,
432,What is the name of India’s highest mountain peak?,Kanchenjunga,GK Questions For Class 3,
433,The capital of Andaman & Nicobar Islands is ______.,Port Blair,GK Questions For Class 3,
434,"Which is the largest country in the world, in terms of area?",Russia,GK Questions For Class 3,
435,The two holes on the nose through which we breathe are called _________.,Nostrils,GK Questions For Class 3,
436,"In which country did the game, chess, originate?",India,GK Questions For Class 3,
437,The wheel in the center of Indian national flag has _____ spokes.,24,GK Questions For Class 3,
438,Who is the author of Harry Potter series of books?,J.K. Rowling,GK Questions For Class 3,
439,Who was known as “Human Computer”?,Shakuntala Devi,GK Questions For Class 3,
440,Name the instrument used to measure the speed of wind?,Anemometer,GK Questions For Class 3,
441,Name the smallest planet in our solar system?,Mercury,GK Questions For Class 3,
442,Any number multiplied by zero is ________.,Zero,GK Questions For Class 3,
443,Which is the largest four-digit number?,9999,GK Questions For Class 3,
444,Ganymede is the moon of which planet?,Jupiter,GK Questions For Class 3,
445,Who was the first person to land on the moon?,Jupiter,GK Questions For Class 3,
446,Who invented steam engine?,James Watt,GK Questions For Class 3,
447,Who was the first person to calculate the value of Pi?,Archimedes,GK Questions For Class 3,
448,In which country is Mount Everest situated?,Nepal,GK Questions For Class 3,
449,Which is the biggest coral reef in the world?,Great Barrier Reef,GK Questions For Class 3,
450,World’s largest rain forest is _________.,The Amazon,GK Questions For Class 3,
451,Which is the biggest part of the brain?,Cerebrum,GK Questions For Class 3,
452,_________ animals sleep during the day and stay awake at night.,Nocturnal animals,GK Questions For Class 3,
453,Animals that eat meat are called _________.,Carnivores,GK Questions For Class 3,
454,Name an insectivorous plant?,Venus Flytrap,GK Questions For Class 3,
455,A newborn baby has _______ bones.,300,GK Questions For Class 3,
456,How many millimeters make a meter?.,1000,GK Questions For Class 3,
457,How many millimeters make a meter?.,1000,GK Questions For Class 3,
458,What is an angle that has a value less than 90˚ called?,Acute angle,GK Questions For Class 3,
459,What is an angle that has a value greater than 90˚ called?,Obtuse angle,GK Questions For Class 3,
460,"When a number is multiplied by 1, the product would be ________.",The Same Number,GK Questions For Class 3,
461,What is the art of folding paper to create shapes called?,Origami,GK Questions For Class 3,
462,The flag of which country has a non-quadrilateral shape?,Nepal,GK Questions For Class 3,
463,The place where beehives of honeybees are kept is called?,Apiary,GK Questions For Class 3,
464,Which is the fastest land animal?,Cheetah,GK Questions For Class 3,
465,Which animal has a hump on its back?,Camel,GK Questions For Class 3,
466,Name a commonly found reptile?,Lizard,GK Questions For Class 3,
467,Which is the largest ocean in the world?,Pacific Ocean,GK Questions For Class 3,
468,Australia lies between which two oceans?,Indian Ocean and Pacific Ocean,GK Questions For Class 3,
469,Which is the coldest planet in our solar system?,Neptune,GK Questions For Class 3,
470,Where is food collected in the human body once it is chewed and swallowed?,Stomach,GK Questions For Class 3,
471,Which pigment is responsible for the green colour of leaves?,Stomach,GK Questions For Class 3,
472,Which Indian city is known as “Orange City”?,Nagpur,GK Questions For Class 3,
473,Which city is known as the “Financial Capital of India”?,Mumbai,GK Questions For Class 3,
474,Which country won the first T20 world cup?,India,GK Questions For Class 3,
475,Which planet in our solar system takes less than 10 hours to complete its one rotation?,Jupiter,GK Questions For Class 3,
476,Which planet is known as the “blue planet”?,Earth,GK Questions For Class 3,
477,Which star is closest to the Earth?,The Sun,GK Questions For Class 3,
478,Which is the most abundant gas found on Earth?,Nitrogen,GK Questions For Class 3,
479,The mixture consisting of molten rocks that flow out of a volcano during the volcanic eruption is called ________.,Lava,GK Questions For Class 3,
480,Earth requires ____ hours to complete one rotation.,24,GK Questions For Class 3,
481,What is the movement of Earth on its own axis resulting in day and night called?,Rotation,GK Questions For Class 3,
482,What is the movement of Earth around the Sun resulting in change of seasons called?,Revolution,GK Questions For Class 3,
483,The Earth is closest to the Sun during which season?,Summer,GK Questions For Class 3,
484,Name the galaxy our solar system is a part of?,Milky Way,GK Questions For Class 3,
485,Who invented video games?,Ralph Baer,GK Questions For Class 3,
486,Who invented postage stamp?,Rowland Hill,GK Questions For Class 3,
487,Which is the tallest animal in the world?,Giraffe,GK Questions For Class 3,
488,Which is the fastest bird in the world?,Ostrich,GK Questions For Class 3,
489,Which is the highest waterfall in the world?,Angel Falls,GK Questions For Class 3,
490,Who wrote the world famous children’s book—Jungle Book?,Rudyard Kipling,GK Questions For Class 3,
491,Who wrote the book “Chronicles of Narnia”?,C.S. Lewis,GK Questions For Class 3,
492,The book “Charlie and the Chocolate Factory” was written by _______.,Roald Dahl,GK Questions For Class 3,
493,Who wrote the popular children’s book “The Cat in The Hat”?,Dr. Suess,GK Questions For Class 3,
494,The book “The Very Hungry Caterpillar” was written by _________.,Eric Carle,GK Questions For Class 3,
495,How many years did the First World War (WWI) last?,Four (1914-1918),GK Questions For Class 3,
496,How many years did the Second World War (WWII) last?,Six (1939-1945),GK Questions For Class 3,
497,Distance between two countries is measured in __________.,Kilometers,GK Questions For Class 3,
498,In which country is the Eiffel Tower located?,France,GK Questions For Class 3,
499,Which number is neither prime nor composite?,1,GK Questions For Class 3,
500,5 times 20 equals to ______.,1000,GK Questions For Class 3,
501,How many months of a year have only 30 days?,"4 (April, June, September and November)",GK Questions For Class 3,
502,An octopus has _____ hearts.,Three,GK Questions For Class 3,
503,The Statue of Liberty is located in which city?,"New York, USA",GK Questions For Class 3,
504,Sunlight is the source of which vitamin?,Vitamin D,GK Questions For Class 3,
505,How many teeth does a human have?,32,GK Questions For Class 3,
506,On which planet do we live?,Earth,GK Questions For Class 3,
507,How many continents do we have?,Seven,GK Questions For Class 3,
508,What is the process in which plants make food known as?,Photosynthesis,GK Questions For Class 3,
509,How many bones do we have?,206,GK Questions For Class 3,
510,Name the biggest flower.,Rafflesia,GK Questions For Class 3,
511,The animals that eat only plants and herbs are called ____________.,Herbivores,GK Questions For Class 3,
512,Which country is known as the “Land of White Elephants”?,Thailand,GK Questions For Class 3,
513,Which is the biggest planet in our Solar System?,Jupiter,GK Questions For Class 3,
514,Who is the first woman to go to space?,Valentina Tereshkova,GK Questions For Class 3,
515,Identify the Historical monument,Charminar,GK Questions For Class 3,images/6.jpeg
516,Name the tallest building in the world.,"Burj Khalifa, UAE",GK Questions For Class 3,
517,Who invented the Light Bulb?,Thomas Alva Edison,GK Questions For Class 3,
518,In how many hours does earth complete one rotation?,24 hours,GK Questions For Class 3,
519,Who wrote the drama “Julius Caesar”?,William Shakespeare,GK Questions For Class 3,
520,Which is the highest mountain peak in the world?,Mount Everest,GK Questions For Class 3,
521,Who is known as the father of modern computers?,Charles Babbage,GK Questions For Class 3,
522,Which part of the computer is its Brain?,CPU,GK Questions For Class 3,
523,Name the longest river on earth.,Nile,GK Questions For Class 3,
524,Name three vegetables that grow under soil.,"Potato, Tapioca and Ginger",GK Questions For Class 3,
525,What is the value of Pi?,3.14,GK Questions For Class 3,
526,Which is the most widely spoken language in the world?,Mandarin (Chinese),GK Questions For Class 3,
527,Identify the scientist.,Albert Einstein,GK Questions For Class 3,images/7.jpeg
528,How many days are there in a Leap Year?,366,GK Questions For Class 3,
529,Name the Largest desert in the world.,Sahara Desert,GK Questions For Class 3,
530,Which is the largest island in the world?,Greenland,GK Questions For Class 4,
531,What is the name of the sword owned by King Arthur?,Excaliber,GK Questions For Class 4,
532,Who is known as “Nightingale of India”?,Sarojini Naidu,GK Questions For Class 4,
533,Who is known as the “father of geometry”?,Euclid,GK Questions For Class 4,
534,Who wrote the national song of India? (Vande Mataram),Bankim Chandra Chatterjee,GK Questions For Class 4,
535,When is National Girl Child Day celebrated in India?,January 24,GK Questions For Class 4,
536,A leap year has _____ days.,366,GK Questions For Class 4,
537,Taj Mahal is situated on the banks of which river?,Yamuna,GK Questions For Class 4,
538,Name the largest planet in our solar system,Jupiter,GK Questions For Class 4,
539,Our solar system consists of _____ planets,8,GK Questions For Class 4,
540,_____ is known as the brain of the computer.,CPU,GK Questions For Class 4,
541,_____ What is the full form of CPU?,Central Processing Unit,GK Questions For Class 4,
542,Which part of the human body has the smallest bone?,EAR,GK Questions For Class 4,
543,Penicillin was invented by ________.,Alexander Fleming,GK Questions For Class 4,
544,Saina Nehwal is related to which sport?,Badminton,GK Questions For Class 4,
545,Giza Pyramids situated in which country?,Egypt,GK Questions For Class 4,
546,Statue of liberty is situated in which city?,New York,GK Questions For Class 4,
547,Which is the most sensitive organ in the human body?,Skin,GK Questions For Class 4,
548,Computer was invented by _______.,Charles Babbage,GK Questions For Class 4,
549,Which animal is known as the ship of the desert?,Camel,GK Questions For Class 4,
550,An octagon has _____ sides.,8,GK Questions For Class 4,
551,Which colour represents peace?,White,GK Questions For Class 4,
552,How many players are there in a cricket team?,11,GK Questions For Class 4,
553,Which African country is famous for chocolate?,Ghana,GK Questions For Class 4,
554,Olympic Games are held every ____ years.,4,GK Questions For Class 4,
555,Which is the largest desert in the world?,Sahara Desert,GK Questions For Class 4,
556,Which is the tallest waterfall in the world?,Angel Falls,GK Questions For Class 4,
557,Which is the biggest animal in the world?,Antarctic Blue Whale,GK Questions For Class 4,
558,What is another name for Table Tennis?,Ping pong,GK Questions For Class 4,
559,Where will the 2024 Olympics be held?,Paris,GK Questions For Class 4,
560,Dipa Karmakar is associated with which sport?,Gymnastics,GK Questions For Class 4,
561,When was the first modern Olympics held?,"1896 (in Athens, Greece)",GK Questions For Class 4,
562,Where is leaning tower of Pisa located?,Italy,GK Questions For Class 4,
563,Where is Louvre Museum situated?,"Paris, France",GK Questions For Class 4,
564,Which river is nicknamed “Sorrow of China”?,Yellow River,GK Questions For Class 4,
565,"Where is world’s tallest building, Burj Khalifa, located?","Dubai, UAE",GK Questions For Class 4,
566,What was the name of the ISRO mission to Mars?,Mangalyaan,GK Questions For Class 4,
567,Who invented Java programming language?,James Gosling,GK Questions For Class 4,
568,Who is known as the father of C language?,Dennis Ritchie,GK Questions For Class 4,
569,What is the full form of bit?,Binary digit,GK Questions For Class 4,
570,What is the name of the supercomputer placed at Indian Institute of Tropical Meteorology (IITM)?,Pratyush,GK Questions For Class 4,
571,Which is the world’s fastest super computer?,Fugaku Supercomputer,GK Questions For Class 4,
572,Which number has no reciprocal?,1,GK Questions For Class 4,
573,A heptagon has _____ sides.,7,GK Questions For Class 4,
574,The sum of the angles of a triangle is _____.,180˚,GK Questions For Class 4,
575,Which blood cells in our body help to fight infections?,White Blood Cells,GK Questions For Class 4,
576,What is the full form of BMP?,Bit Map Picture,GK Questions For Class 4,
577,Monitor of a computer is an _______ device.,Output,GK Questions For Class 4,
578,How many oceans are there in the world?,7,GK Questions For Class 4,
579,In which country is Mount Everest located?,Nepal,GK Questions For Class 4,
580,What is the capital of Belgium?,Brussels,GK Questions For Class 4,
581,Who was the first President of India?,Dr Rajendra Prasad,GK Questions For Class 4,
582,Who invented telescope?,Galileo Galilei,GK Questions For Class 4,
583,Which is the smallest bird in the world?,Humming bird,GK Questions For Class 4,
584,Which is the largest country in terms of population?,China,GK Questions For Class 4,
585,Which is the largest delta in the world?,Sunderban delta (Ganges-Brahmaputra Delta),GK Questions For Class 4,
586,Durand Cup is related to which sport?,Football,GK Questions For Class 4,
587,World Red Cross Day is celebrated on ________.,May 8th,GK Questions For Class 4,
588,Which country is known as the “Land of Cakes”?,Scotland,GK Questions For Class 4,
589,Which is the world’s largest coral reef system?,The Great Barrier Reef,GK Questions For Class 4,
590,Which is the biggest bird in the world?,Ostrich,GK Questions For Class 4,
591,The Statue of Liberty was a gift to the USA from which country?,France,GK Questions For Class 4,
592,The largest moon of Saturn is ________.,Titan,GK Questions For Class 4,
593,The term “wicket” is related to which sport?,Cricket,GK Questions For Class 4,
594,Name an insect with colourful wings?,Butterfly,GK Questions For Class 4,
595,Which state is known as the Orchid Paradise of India?,Arunachal Pradesh,GK Questions For Class 4,
596,Name the acid present in apple,Malic acid,GK Questions For Class 4,
597,Which country awards Nobel Prize?,Sweden,GK Questions For Class 4,
598,What is the currency of Malaysia?,Malaysian Ringgit,GK Questions For Class 4,
599,Measurement of right angle is ___________.,90˚,GK Questions For Class 4,
600,What is a triangle with two equal sides called?,Isosceles triangle,GK Questions For Class 4,
601,Which metal is used to make the filament of an electric bulb?,Tungsten,GK Questions For Class 4,
602,How many consonants are there in the English alphabet?,73,GK Questions For Class 4,
603,Trout and Carp are types of _________.,Fish/strong>,GK Questions For Class 4,
604,A polygon with 8 sides is called __________.,Octagon,GK Questions For Class 4,
605,Which organ purifies our blood?,Kidney,GK Questions For Class 4,
606,The animal with a hump on its back is _?,Camel,GK Questions For Class 4,
607,The brain of a computer is _.,CPU,GK Questions For Class 4,
608,The largest continent is _.,Asia,GK Questions For Class 4,
609,Who wrote ‘Ramayana’?,Valmiki,GK Questions For Class 4,
610,How many bones are there in a newborn baby?,300,GK Questions For Class 4,
611,Martyrs’ Day is celebrated every year on _.,30th January,GK Questions For Class 4,
612,The fastest animal on earth is?,Cheetah,GK Questions For Class 4,
613,Earth Day celebrated on?,April 22nd,GK Questions For Class 4,
614,The National Tree of India is?,Banyan Tree,GK Questions For Class 4,
615,Which is the tallest animal in the world?,Giraffe,GK Questions For Class 4,
616,What is the full form of RAM?,Random Access Memory,GK Questions For Class 4,
617,Who wrote ‘Discovery of India’?,Jawaharlal Nehru,GK Questions For Class 4,
618,Which is the tallest statue in the world?,"The Statue of Unity, India",GK Questions For Class 4,
619,Young one of the horses is called?,Colt,GK Questions For Class 4,
620,How many players are there in a cricket team?,11,GK Questions For Class 4,
621,How many days does earth take to revolve around the sun?,365 days,GK Questions For Class 4,
622,The biggest sea animal is _.,Dolphin,GK Questions For Class 4,
623,Which is the largest desert in India?,Thar desert,GK Questions For Class 4,
624,Which is the densest jungle in the world?,Amazon,GK Questions For Class 4,
625,When is Teacher’s Day celebrated?,September 5th,GK Questions For Class 4,
626,A place where bees are kept is called _.,Aviary,GK Questions For Class 4,
627,How many sides are there in a pentagon?,Five,GK Questions For Class 4,
628,Which is the smallest state in India?,Goa,GK Questions For Class 4,
629,Who is the father of our Nation?,Mahatma Gandhi,GK Questions For Class 4,
630,Which is the 4th planet of our solar system?,Mars,GK Questions For Class 5,
631,Which is the largest river in the world?,Amazon,GK Questions For Class 5,
632,Name a plant that grows in the desert?,Cactus,GK Questions For Class 5,
633,Which is the brightest planet in the solar system?,Venus,GK Questions For Class 5,
634,A football team consists of how many members?,11,GK Questions For Class 5,
635,What is the young one of a cow called?,Calf,GK Questions For Class 5,
636,Which is the largest ocean in the world?,Pacific Ocean,GK Questions For Class 5,
637,The branch of science that deals with earthquakes is called ___________,Seismology,GK Questions For Class 5,
638,“Wings of Fire” is the autobiography of ______________,Dr. APJ Abdul Kalam,GK Questions For Class 5,
639,Which is the national bird of the USA?,Bald Eagle,GK Questions For Class 5,
640,The smallest bone in the human body is __________,Stapes (located in the ear),GK Questions For Class 5,
641,Which is the deepest oceanic trench in the world?,Mariana Trench,GK Questions For Class 5,
642,Name a country without an official capital?,Nauru,GK Questions For Class 5,
643,Name the capital of Romania?,Bucharest,GK Questions For Class 5,
644,Which is the largest plateau in the world?,Tibetan Plateau,GK Questions For Class 5,
645,Young one of a horse is called?,Foal,GK Questions For Class 5,
646,How many bones does an adult human body have?,206,GK Questions For Class 5,
647,"Who wrote the famous play, “Romeo and Juliet”?",William Shakespeare,GK Questions For Class 5,
648,Atacama Desert is located in which continent?,South America,GK Questions For Class 5,
649,Study of the universe is called?,Cosmology,GK Questions For Class 5,
650,Mt. Vesuvius is located in which country?,Italy,GK Questions For Class 5,
651,Who is known as the “Father of Indian Space Program”?,Vikram Sarabhai,GK Questions For Class 5,
652,Mt. Abu is located in?,India,GK Questions For Class 5,
653,What is the capital of Armenia?,Yerevan,GK Questions For Class 5,
654,"“B” in BRICS, an international organization, stands for?",Brazil,GK Questions For Class 5,
655,Where is Spratly Islands located?,South China Sea,GK Questions For Class 5,
656,Where is the headquarters of European Union located?,"Brussels, Belgium",GK Questions For Class 5,
657,In which city is the world’s largest port located?,Shanghai,GK Questions For Class 5,
658,For which event did Neeraj Chopra win a gold medal at the 2020 Tokyo Olympics?,Javelin throw,GK Questions For Class 5,
659,In which year did India win the first Cricket World Cup?,1983,GK Questions For Class 5,
660,In which year was South Asian Association for Regional Cooperation (SAARC) established?,1985,GK Questions For Class 5,
661,Which country is known as the “land of the blue sky”?,Mongolia,GK Questions For Class 5,
662,Richter Scale is used to measure _________,Magnitude of earthquakes,GK Questions For Class 5,
663,Coco Islands are located in which sea?,Bay of Bengal,GK Questions For Class 5,
664,Who wrote the book “Midnight’s children”?,Salman Rushdie,GK Questions For Class 5,
665,Who was the first person to go to space?,Yuri Gagarin,GK Questions For Class 5,
666,Which is the deepest lake in the world?,Lake Baikal,GK Questions For Class 5,
667,Name the device that provides power to the connected devices of a computer during power outages?,Uninterrupted Power Supply (UPS),GK Questions For Class 5,
668,What is the full form of URL?,Uniform Resource Locator,GK Questions For Class 5,
669,Who invented World Wide Web (www)?,Tim Berners-Lee,GK Questions For Class 5,
670,When did the Internet come into existence?,"January 1, 1983",GK Questions For Class 5,
671,"Where is the headquarters of Kaspersky Lab, the popular cyber security and anti-virus provider, located?",Moscow,GK Questions For Class 5,
672,Name the planet in our solar system that is known as the “Red Planet”,Mars,GK Questions For Class 5,
673,Name the scientist who discovered gravity?,Sir Isaac Newton,GK Questions For Class 5,
674,Whose birthday is celebrated as “Engineer’s Day” in India?,Sir M Visvesaraya,GK Questions For Class 5,
675,Between which planets does the asteroid belt exist in our solar system?,Mars and Jupiter,GK Questions For Class 5,
676,Who invented dynamite?,Alfred Nobel,GK Questions For Class 5,
677,"Name the country Alfred Nobel, the famous inventor, was born in?",Sweden,GK Questions For Class 5,
678,Which is the longest bone in the human body?,Femur (thigh bone),GK Questions For Class 5,
679,Who invented airplanes?,Wright brothers (Orville Wright and Wilbur Wright),GK Questions For Class 5,
680,Which galaxy does solar system belong to?,Milky Way,GK Questions For Class 5,
681,What is the speed of light in vacuum?,"3,00,000 km/sec",GK Questions For Class 5,
682,Which gas is commonly found in our universe?,Hydrogen,GK Questions For Class 5,
683,When is World Heritage Day celebrated?,April 18,GK Questions For Class 5,
684,Which is the smallest continent in the world?,Australia,GK Questions For Class 5,
685,Telephone was invented by ___________,Alexander Graham Bell,GK Questions For Class 5,
686,Who invented light bulb?,Thomas Alva Edison,GK Questions For Class 5,
687,Which is the national game of the USA?,Baseball,GK Questions For Class 5,
688,Which is the lightest gas?,Hydrogen,GK Questions For Class 5,
689,Branch of science that deals with scientific study of insects is known as _________,Entomology,GK Questions For Class 5,
690,Who invented the television?,John Logie Baird,GK Questions For Class 5,
691,Who was known as “Indian Napolean”?,Samudragupta,GK Questions For Class 5,
692,The total distance between the Sun and the Earth is ___________,149.6 Million km,GK Questions For Class 5,
693,Who formulated the theory of relativity?,Albert Einstein,GK Questions For Class 5,
694,Which mathematician is known as the “Prince of Indian Mathematics”?,Srinivasa Ramanujan,GK Questions For Class 5,
695,Sound cannot travel through _________,Vacuum,GK Questions For Class 5,
696,What is the full form of ROM?,Read-Only Memory,GK Questions For Class 5,
697,Name the smallest ocean in the world?,Arctic Ocean,GK Questions For Class 5,
698,Goitre is caused by the deficiency of?,Arctic Ocean,GK Questions For Class 5,
699,The term “LBW” is related to which sport?,Cricket,GK Questions For Class 5,
700,In which year did Christopher Columbus discover America?,1492,GK Questions For Class 5,
701,Which is the tallest mountain in the world?,Mount Everest,GK Questions For Class 5,
702,"The famous novel, Alice in Wonderland, was written by?",Lewis Carroll,GK Questions For Class 5,
703,"Name the ocean in which the famous ship, Titanic, had sunk?",North Atlantic Ocean,GK Questions For Class 5,
704,What is the scientific name of tomato?,Solanum lycopersicum,GK Questions For Class 5,
705,1024 kilobytes is equal to _.,1 Megabyte(MB),GK Questions For Class 5,
706,Who is Paulo Coelho?,Brazilian Novelist,GK Questions For Class 5,
707,A figure with 6 sides is known as ________.,Hexagon,GK Questions For Class 5,
708,What do UPS stand for?,Uninterrupted Power Supply,GK Questions For Class 5,
709,At which temperature does water boil?,100◦C,GK Questions For Class 5,
710,Name the acid in lemon.,Citric acid,GK Questions For Class 5,
711,Which is the first animal to land on the moon?,"Laika, The dog",GK Questions For Class 5,
712,Name the two Oceans in which Australia is sandwiched between?,The Indian Ocean and The Pacific Ocean,GK Questions For Class 5,
713,What do AM and PM stand for?,AM stands for Ante Meridiem and PM stands for Post Meridiem,GK Questions For Class 5,
714,Statue of Liberty is in _.,New York City,GK Questions For Class 5,
715,Name the five layers of Earth’s atmosphere.,"Exosphere, Thermosphere, Mesosphere, Stratosphere and Troposphere",GK Questions For Class 5,
716,Name the border of India and Pakistan.,Radcliffe Line ,GK Questions For Class 5,
717,What is Ablutophobia?,It is the Fear of Bathing,GK Questions For Class 5,
718,What is the full form of  HTTP?,Hypertext Transfer Protocol,GK Questions For Class 5,
719,Identify the Tennis Player.,Roger Federer,GK Questions For Class 5,images/8.jpeg
720,Which is the coldest planet in our solar system?,Neptune,GK Questions For Class 5,
721,Which gas is known as “Laughing gas”?,Nitrous Oxide,GK Questions For Class 5,
722,Name the largest temple in the World.,Angkor Wat,GK Questions For Class 5,
723,Which of the following is not a component of chlorophyll?  a) Magnesium b)  Carbon c) Calcium d) None of These,C. Calcium,GK Questions For Class 5,
724,Which is the largest freshwater lake in the world?,Lake Baikal,GK Questions For Class 5,
725,What is the full form of MBBS?,Bachelor of Medicine and Bachelor of Surgery,GK Questions For Class 5,
726,Who is the founder of Buddhism?,Siddhartha Gautama,GK Questions For Class 5,
727,What is the capital of Italy?,Rome,GK Questions For Class 5,
728,When is UN day celebrated?,October 24,GK Questions For Class 5,
729,Who is the fastest man in the world?,Usain Bolt,GK Questions For Class 6,
730,In which year was the Battle of Plassey fought?,1757,GK Questions For Class 6,
731,At which age Gautham Buddha got Nirvana?,35,GK Questions For Class 6,
732,Who is known as the father of history?,Herodotus,GK Questions For Class 6,
733,What was the ancient name of Patna?,Pataliputra,GK Questions For Class 6,
734,What is the square root of 144?,12,GK Questions For Class 6,
735,Who gave the slogan “Do or Die”?,Mahatma Gandhi,GK Questions For Class 6,
736,Why are the leaves green in color?,Due to the presence of Chlorophyll,GK Questions For Class 6,
737,Name the acid that is secreted in the stomach?,Hydrochloric acid,GK Questions For Class 6,
738,Which is the highest civilian award of the Republic of India?,The Bharat Ratna Award,GK Questions For Class 6,
739,WWW stands for?,World Wide Web,GK Questions For Class 6,
740,World Environment Day is celebrated on _.,June 5,GK Questions For Class 6,
741,Plants that develop in dry conditions are,Xerophytes,GK Questions For Class 6,
742,Where is ‘Great Bear Lake’ found in the world?,Canada ,GK Questions For Class 6,
743,What is the full form of Wifi?,Wireless Fidelity,GK Questions For Class 6,
744,Who is the writer of ‘Panchathantra’?,Vishnu Sharma,GK Questions For Class 6,
745,Who is the 14th President of India?,Ram Nath Govind,GK Questions For Class 6,
746,Which is the biggest bone in the human body?,Femur,GK Questions For Class 6,
747,Who was the inventor of the light bulb?,Thomas Alwa Edison,GK Questions For Class 6,images/9.jpeg
748,Opium is obtained from the dry latex from which part of the Papaver somniferum Plant?,Poppy,GK Questions For Class 6,
749,Which Vitamin helps to heal the wound,Vitamin C,GK Questions For Class 6,
750,Which is the mineral found in teeth and limestones?,Calcium,GK Questions For Class 6,
751,Who was at the helm of the Philadelphia Phillies in the 2011 season?,Charlie Manuel,GK Questions For Class 6,
752,Which is the largest lake in Japan?,Biwa,GK Questions For Class 6,
753,What is the weight of a cricket ball?,5.75 ounces,GK Questions For Class 6,
754,Which is the only even prime number?,2,GK Questions For Class 6,
755,Who invented the number zero?,Aryabhatta,GK Questions For Class 6,
756,How many degrees are there in a circle?,360,GK Questions For Class 6,
757,What is the shape of dice?,Cube,GK Questions For Class 6,
758,How many decimal points are there in a number?,One,GK Questions For Class 6,
759,How many seconds are there in an hour?,3600,GK Questions For Class 6,
760,A triangle with all side equal is called_?,Equilateral triangle,GK Questions For Class 6,
761,Which is the first odd composite number?,33,GK Questions For Class 6,
762,What is a polygon with five sides called?,Pentagon,GK Questions For Class 6,
763,How many years is a decade?,Ten,GK Questions For Class 6,
764,A raindrop is of which geometric shape?,Sphere,GK Questions For Class 6,
765,What is the approximate value of pi?,3.14,GK Questions For Class 6,
766,90 minutes amount to ___ hours?,1.5,GK Questions For Class 6,
767,What is the value of Golden Ratio?,1.618,GK Questions For Class 6,
768,What is a triangle with all three sides of different lengths called?,Scalene triangle,GK Questions For Class 6,
